"Id","Date","Hour","avgValue"
2022484408,"01/04/2016","07:00:00",100
2022484408,"01/04/2016","08:00:00",71
2022484408,"01/04/2016","09:00:00",121
2022484408,"01/04/2016","10:00:00",97
2022484408,"01/04/2016","11:00:00",90
2022484408,"01/04/2016","14:00:00",126
2022484408,"01/04/2016","15:00:00",75
2022484408,"01/04/2016","16:00:00",81
2022484408,"01/04/2016","17:00:00",89
2022484408,"01/04/2016","18:00:00",77
2022484408,"01/04/2016","19:00:00",80
2022484408,"01/04/2016","20:00:00",81
2022484408,"01/05/2016","06:00:00",77
2022484408,"01/05/2016","07:00:00",72
2022484408,"01/05/2016","08:00:00",65
2022484408,"01/05/2016","09:00:00",62
2022484408,"01/05/2016","10:00:00",99
2022484408,"01/05/2016","11:00:00",66
2022484408,"01/05/2016","12:00:00",61
2022484408,"01/05/2016","13:00:00",61
2022484408,"01/05/2016","14:00:00",71
2022484408,"01/05/2016","15:00:00",72
2022484408,"01/05/2016","16:00:00",67
2022484408,"01/05/2016","17:00:00",77
2022484408,"01/05/2016","18:00:00",78
2022484408,"01/05/2016","19:00:00",98
2022484408,"02/04/2016","09:00:00",65
2022484408,"02/04/2016","10:00:00",66
2022484408,"02/04/2016","11:00:00",66
2022484408,"02/04/2016","12:00:00",76
2022484408,"02/04/2016","13:00:00",77
2022484408,"02/04/2016","14:00:00",73
2022484408,"02/04/2016","15:00:00",78
2022484408,"02/04/2016","16:00:00",75
2022484408,"02/04/2016","17:00:00",63
2022484408,"02/04/2016","18:00:00",73
2022484408,"02/04/2016","19:00:00",73
2022484408,"02/04/2016","20:00:00",73
2022484408,"02/05/2016","07:00:00",72
2022484408,"02/05/2016","08:00:00",70
2022484408,"02/05/2016","09:00:00",86
2022484408,"02/05/2016","10:00:00",86
2022484408,"02/05/2016","11:00:00",65
2022484408,"02/05/2016","12:00:00",78
2022484408,"02/05/2016","13:00:00",83
2022484408,"02/05/2016","14:00:00",101
2022484408,"02/05/2016","15:00:00",70
2022484408,"02/05/2016","16:00:00",74
2022484408,"02/05/2016","17:00:00",74
2022484408,"02/05/2016","18:00:00",77
2022484408,"02/05/2016","19:00:00",72
2022484408,"03/04/2016","08:00:00",110
2022484408,"03/04/2016","09:00:00",81
2022484408,"03/04/2016","10:00:00",70
2022484408,"03/04/2016","11:00:00",70
2022484408,"03/04/2016","12:00:00",70
2022484408,"03/04/2016","13:00:00",70
2022484408,"03/04/2016","14:00:00",74
2022484408,"03/04/2016","15:00:00",77
2022484408,"03/04/2016","16:00:00",67
2022484408,"03/04/2016","17:00:00",78
2022484408,"03/04/2016","18:00:00",64
2022484408,"03/04/2016","19:00:00",85
2022484408,"03/04/2016","20:00:00",61
2022484408,"03/05/2016","07:00:00",100
2022484408,"03/05/2016","08:00:00",72
2022484408,"03/05/2016","09:00:00",66
2022484408,"03/05/2016","10:00:00",113
2022484408,"03/05/2016","11:00:00",81
2022484408,"03/05/2016","12:00:00",78
2022484408,"03/05/2016","13:00:00",77
2022484408,"03/05/2016","14:00:00",97
2022484408,"03/05/2016","15:00:00",80
2022484408,"03/05/2016","16:00:00",98
2022484408,"03/05/2016","17:00:00",76
2022484408,"03/05/2016","18:00:00",74
2022484408,"03/05/2016","19:00:00",77
2022484408,"03/05/2016","20:00:00",77
2022484408,"03/05/2016","21:00:00",73
2022484408,"04/04/2016","09:00:00",68
2022484408,"04/04/2016","10:00:00",75
2022484408,"04/04/2016","11:00:00",92
2022484408,"04/04/2016","12:00:00",71
2022484408,"04/04/2016","13:00:00",74
2022484408,"04/04/2016","14:00:00",67
2022484408,"04/04/2016","15:00:00",72
2022484408,"04/04/2016","16:00:00",100
2022484408,"04/04/2016","17:00:00",90
2022484408,"04/04/2016","18:00:00",72
2022484408,"04/04/2016","19:00:00",75
2022484408,"04/04/2016","20:00:00",72
2022484408,"04/05/2016","06:00:00",76
2022484408,"04/05/2016","07:00:00",79
2022484408,"04/05/2016","08:00:00",74
2022484408,"04/05/2016","09:00:00",97
2022484408,"04/05/2016","10:00:00",98
2022484408,"04/05/2016","11:00:00",82
2022484408,"04/05/2016","12:00:00",81
2022484408,"04/05/2016","13:00:00",81
2022484408,"04/05/2016","14:00:00",101
2022484408,"04/05/2016","15:00:00",78
2022484408,"04/05/2016","16:00:00",82
2022484408,"04/05/2016","17:00:00",72
2022484408,"04/05/2016","18:00:00",73
2022484408,"04/05/2016","19:00:00",75
2022484408,"04/05/2016","20:00:00",71
2022484408,"05/04/2016","07:00:00",84
2022484408,"05/04/2016","08:00:00",75
2022484408,"05/04/2016","09:00:00",74
2022484408,"05/04/2016","10:00:00",106
2022484408,"05/04/2016","11:00:00",98
2022484408,"05/04/2016","12:00:00",75
2022484408,"05/04/2016","13:00:00",73
2022484408,"05/04/2016","14:00:00",96
2022484408,"05/04/2016","15:00:00",77
2022484408,"05/04/2016","16:00:00",85
2022484408,"05/04/2016","17:00:00",75
2022484408,"05/04/2016","18:00:00",82
2022484408,"05/04/2016","19:00:00",81
2022484408,"05/04/2016","20:00:00",86
2022484408,"05/05/2016","08:00:00",83
2022484408,"05/05/2016","09:00:00",87
2022484408,"05/05/2016","10:00:00",109
2022484408,"05/05/2016","11:00:00",80
2022484408,"05/05/2016","12:00:00",75
2022484408,"05/05/2016","13:00:00",66
2022484408,"05/05/2016","14:00:00",86
2022484408,"05/05/2016","15:00:00",88
2022484408,"05/05/2016","16:00:00",79
