"Id","Date","Hour","minutes_SleepLevel_1","minutes_SleepLevel_2","minutes_SleepLevel_3","sleepRecords_SleepLevel_1","sleepRecords_SleepLevel_2","sleepRecords_SleepLevel_3"
1503960366,"01/04/2016","03:00:00",40,2,1,1,1,1
1503960366,"01/04/2016","04:00:00",60,0,0,1,0,0
1503960366,"01/04/2016","05:00:00",59,1,0,1,1,0
1503960366,"01/04/2016","06:00:00",60,0,0,1,0,0
1503960366,"01/04/2016","07:00:00",45,12,3,1,1,1
1503960366,"01/04/2016","08:00:00",19,4,0,1,1,0
1503960366,"01/05/2016","02:00:00",53,2,3,1,1,1
1503960366,"01/05/2016","03:00:00",58,2,0,1,1,0
1503960366,"01/05/2016","04:00:00",60,0,0,1,0,0
1503960366,"01/05/2016","05:00:00",57,3,0,1,1,0
1503960366,"01/05/2016","06:00:00",59,1,0,1,1,0
1503960366,"01/05/2016","07:00:00",53,7,0,1,1,0
1503960366,"01/05/2016","08:00:00",29,7,2,1,1,1
1503960366,"02/04/2016","00:00:00",2,0,0,1,0,0
1503960366,"02/04/2016","01:00:00",60,0,0,1,0,0
1503960366,"02/04/2016","02:00:00",57,3,0,1,1,0
1503960366,"02/04/2016","03:00:00",43,14,3,1,1,1
1503960366,"02/04/2016","04:00:00",56,4,0,1,1,0
1503960366,"02/04/2016","05:00:00",59,1,0,1,1,0
1503960366,"02/04/2016","06:00:00",60,0,0,1,0,0
1503960366,"02/04/2016","07:00:00",29,23,8,1,1,1
1503960366,"02/04/2016","08:00:00",52,7,1,1,1,1
1503960366,"02/04/2016","09:00:00",21,6,0,1,1,0
1503960366,"02/05/2016","03:00:00",37,3,5,1,1,1
1503960366,"02/05/2016","04:00:00",60,0,0,1,0,0
1503960366,"02/05/2016","05:00:00",60,0,0,1,0,0
1503960366,"02/05/2016","06:00:00",59,1,0,1,1,0
1503960366,"02/05/2016","07:00:00",47,12,1,1,1,1
1503960366,"02/05/2016","08:00:00",14,10,0,1,1,0
1503960366,"03/04/2016","02:00:00",28,3,0,1,1,0
1503960366,"03/04/2016","03:00:00",47,9,4,1,1,1
1503960366,"03/04/2016","04:00:00",57,3,0,1,1,0
1503960366,"03/04/2016","05:00:00",57,3,0,1,1,0
1503960366,"03/04/2016","06:00:00",60,0,0,1,0,0
1503960366,"03/04/2016","07:00:00",51,8,1,1,1,1
1503960366,"03/04/2016","08:00:00",53,7,0,1,1,0
1503960366,"03/04/2016","09:00:00",26,7,2,1,1,1
1503960366,"03/05/2016","03:00:00",19,2,0,1,1,0
1503960366,"03/05/2016","04:00:00",60,0,0,1,0,0
1503960366,"03/05/2016","05:00:00",60,0,0,1,0,0
1503960366,"03/05/2016","06:00:00",57,3,0,1,1,0
1503960366,"03/05/2016","07:00:00",49,8,3,1,1,1
1503960366,"03/05/2016","08:00:00",28,7,0,1,1,0
1503960366,"04/04/2016","02:00:00",9,10,9,1,1,1
1503960366,"04/04/2016","03:00:00",58,2,0,1,1,0
1503960366,"04/04/2016","04:00:00",59,1,0,1,1,0
1503960366,"04/04/2016","05:00:00",55,5,0,1,1,0
1503960366,"04/04/2016","06:00:00",59,1,0,1,1,0
1503960366,"04/04/2016","07:00:00",46,11,3,1,1,1
1503960366,"04/04/2016","08:00:00",8,1,0,1,1,0
1503960366,"05/04/2016","03:00:00",38,0,1,1,0,1
1503960366,"05/04/2016","04:00:00",60,0,0,1,0,0
1503960366,"05/04/2016","05:00:00",59,1,0,1,1,0
1503960366,"05/04/2016","06:00:00",58,2,0,1,1,0
1503960366,"05/04/2016","07:00:00",48,10,2,1,1,1
1503960366,"05/04/2016","08:00:00",17,11,2,1,1,1
1503960366,"05/05/2016","04:00:00",43,1,0,1,1,0
1503960366,"05/05/2016","05:00:00",60,0,0,1,0,0
1503960366,"05/05/2016","06:00:00",58,2,0,1,1,0
1503960366,"05/05/2016","07:00:00",50,9,1,1,1,1
